iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=5971 | T=247535 | NewBest=817303 | Δ=206 | ImproveTotal=252
[IMPROVE] Iter=5972 | T=247535 | NewBest=817301 | Δ=2 | ImproveTotal=253
[IMPROVE] Iter=5979 | T=247535 | NewBest=812063 | Δ=5332 | ImproveTotal=254
[IMPROVE] Iter=5980 | T=247535 | NewBest=806647 | Δ=5416 | ImproveTotal=255
[IMPROVE] Iter=5981 | T=247287 | NewBest=806609 | Δ=38 | ImproveTotal=256
[IMPROVE] Iter=6051 | T=245561 | NewBest=799828 | Δ=8623 | ImproveTotal=257
[IMPROVE] Iter=6052 | T=245561 | NewBest=791413 | Δ=8415 | ImproveTotal=258
[IMPROVE] Iter=6060 | T=245561 | NewBest=791318 | Δ=174 | ImproveTotal=259
[IMPROVE] Iter=6061 | T=245316 | NewBest=789359 | Δ=1959 | ImproveTotal=260
[IMPROVE] Iter=6078 | T=245070 | NewBest=787720 | Δ=1940 | ImproveTotal=261
[IMPROVE] Iter=6081 | T=244825 | NewBest=787694 | Δ=26 | ImproveTotal=262
[IMPROVE] Iter=6089 | T=244825 | NewBest=787664 | Δ=30 | ImproveTotal=263
[IMPROVE] Iter=6110 | T=244336 | NewBest=780008 | Δ=8088 | ImproveTotal=264
[IMPROVE] Iter=6214 | T=241662 | NewBest=778182 | Δ=7876 | ImproveTotal=265
[IMPROVE] Iter=6215 | T=241662 | NewBest=778173 | Δ=9 | ImproveTotal=266
[IMPROVE] Iter=6224 | T=241420 | NewBest=777923 | Δ=333 | ImproveTotal=267
[IMPROVE] Iter=6259 | T=240696 | NewBest=776202 | Δ=3170 | ImproveTotal=268
[IMPROVE] Iter=6280 | T=240215 | NewBest=773897 | Δ=2944 | ImproveTotal=269
[IMPROVE] Iter=6282 | T=239975 | NewBest=773767 | Δ=130 | ImproveTotal=270
[IMPROVE] Iter=6290 | T=239975 | NewBest=773545 | Δ=280 | ImproveTotal=271
[IMPROVE] Iter=6291 | T=239735 | NewBest=773538 | Δ=7 | ImproveTotal=272
[IMPROVE] Iter=6338 | T=238778 | NewBest=773365 | Δ=208 | ImproveTotal=273
