iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=4189 | T=31125.2 | NewBest=115275 | Δ=16 | ImproveTotal=130
[IMPROVE] Iter=4191 | T=31094.1 | NewBest=114981 | Δ=294 | ImproveTotal=131
[IMPROVE] Iter=4194 | T=31094.1 | NewBest=114882 | Δ=99 | ImproveTotal=132
[IMPROVE] Iter=4244 | T=30938.9 | NewBest=114779 | Δ=569 | ImproveTotal=133
[IMPROVE] Iter=4250 | T=30938.9 | NewBest=114772 | Δ=109 | ImproveTotal=134
[IMPROVE] Iter=4251 | T=30908 | NewBest=114688 | Δ=84 | ImproveTotal=135
[IMPROVE] Iter=4254 | T=30908 | NewBest=114615 | Δ=73 | ImproveTotal=136
[IMPROVE] Iter=4271 | T=30846.2 | NewBest=114579 | Δ=77 | ImproveTotal=137
[IMPROVE] Iter=4273 | T=30846.2 | NewBest=114554 | Δ=25 | ImproveTotal=138
[IMPROVE] Iter=4274 | T=30846.2 | NewBest=114240 | Δ=314 | ImproveTotal=139
[IMPROVE] Iter=4279 | T=30846.2 | NewBest=114237 | Δ=15 | ImproveTotal=140
[IMPROVE] Iter=6984 | T=23520.6 | NewBest=114227 | Δ=405 | ImproveTotal=141
[IMPROVE] Iter=6994 | T=23497.1 | NewBest=114199 | Δ=118 | ImproveTotal=142
[IMPROVE] Iter=6996 | T=23497.1 | NewBest=114143 | Δ=56 | ImproveTotal=143
[IMPROVE] Iter=7550 | T=22239.1 | NewBest=114010 | Δ=318 | ImproveTotal=144
[IMPROVE] Iter=7552 | T=22216.8 | NewBest=113673 | Δ=337 | ImproveTotal=145
[IMPROVE] Iter=7553 | T=22216.8 | NewBest=113529 | Δ=144 | ImproveTotal=146
[IMPROVE] Iter=7570 | T=22194.6 | NewBest=113446 | Δ=224 | ImproveTotal=147
[IMPROVE] Iter=7571 | T=22172.4 | NewBest=113362 | Δ=84 | ImproveTotal=148
[IMPROVE] Iter=7573 | T=22172.4 | NewBest=113131 | Δ=231 | ImproveTotal=149
[IMPROVE] Iter=7582 | T=22150.2 | NewBest=113120 | Δ=197 | ImproveTotal=150
[IMPROVE] Iter=7583 | T=22150.2 | NewBest=112964 | Δ=156 | ImproveTotal=151
[IMPROVE] Iter=7585 | T=22150.2 | NewBest=112928 | Δ=36 | ImproveTotal=152
[IMPROVE] Iter=7588 | T=22150.2 | NewBest=112782 | Δ=146 | ImproveTotal=153
[IMPROVE] Iter=7596 | T=22128.1 | NewBest=112650 | Δ=132 | ImproveTotal=154
[IMPROVE] Iter=7625 | T=22061.8 | NewBest=112424 | Δ=426 | ImproveTotal=155
[IMPROVE] Iter=7632 | T=22039.7 | NewBest=112404 | Δ=82 | ImproveTotal=156
[IMPROVE] Iter=7643 | T=22017.7 | NewBest=112245 | Δ=198 | ImproveTotal=157
[IMPROVE] Iter=7647 | T=22017.7 | NewBest=112242 | Δ=3 | ImproveTotal=158
[IMPROVE] Iter=7674 | T=21951.7 | NewBest=112188 | Δ=318 | ImproveTotal=159
[IMPROVE] Iter=7683 | T=21929.7 | NewBest=112179 | Δ=136 | ImproveTotal=160
[IMPROVE] Iter=7809 | T=21668 | NewBest=111987 | Δ=261 | ImproveTotal=161
[IMPROVE] Iter=7818 | T=21646.4 | NewBest=111981 | Δ=211 | ImproveTotal=162
[IMPROVE] Iter=7820 | T=21646.4 | NewBest=111936 | Δ=45 | ImproveTotal=163
[IMPROVE] Iter=9505 | T=18279 | NewBest=111803 | Δ=200 | ImproveTotal=164
[IMPROVE] Iter=9516 | T=18260.7 | NewBest=111564 | Δ=249 | ImproveTotal=165
[IMPROVE] Iter=9517 | T=18260.7 | NewBest=111485 | Δ=79 | ImproveTotal=166
[IMPROVE] Iter=9520 | T=18260.7 | NewBest=111447 | Δ=177 | ImproveTotal=167
[IMPROVE] Iter=9521 | T=18242.5 | NewBest=111442 | Δ=5 | ImproveTotal=168
[IMPROVE] Iter=9790 | T=17774 | NewBest=111331 | Δ=189 | ImproveTotal=169
[IMPROVE] Iter=17565 | T=8160.86 | NewBest=111294 | Δ=289 | ImproveTotal=170
[IMPROVE] Iter=17566 | T=8160.86 | NewBest=111203 | Δ=91 | ImproveTotal=171
[IMPROVE] Iter=17570 | T=8160.86 | NewBest=111196 | Δ=7 | ImproveTotal=172
[IMPROVE] Iter=17579 | T=8152.7 | NewBest=111115 | Δ=92 | ImproveTotal=173
[IMPROVE] Iter=18822 | T=7194.28 | NewBest=111061 | Δ=283 | ImproveTotal=174
[IMPROVE] Iter=18826 | T=7194.28 | NewBest=110987 | Δ=74 | ImproveTotal=175
[IMPROVE] Iter=18862 | T=7165.55 | NewBest=110806 | Δ=360 | ImproveTotal=176
[IMPROVE] Iter=18863 | T=7165.55 | NewBest=110739 | Δ=67 | ImproveTotal=177
[IMPROVE] Iter=18875 | T=7158.38 | NewBest=110737 | Δ=20 | ImproveTotal=178
[IMPROVE] Iter=18879 | T=7158.38 | NewBest=110732 | Δ=5 | ImproveTotal=179
