Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_2000,U_U_3,8,433299,5.038,8291,58,12,0
200_2000,U_U_3,9,433357,5.015,7959,56,6,0
200_2000,U_U_3,10,433050,5.036,8070,57,7,0
200_2000,U_U_4,1,564767,5.000,12249,44,1,0
200_2000,U_U_4,2,565393,5.000,12398,42,4,0
200_2000,U_U_4,3,565278,5.000,12352,41,4,0
200_2000,U_U_4,4,564613,5.043,12961,42,2,0
200_2000,U_U_4,5,566092,5.000,12412,42,2,0
200_2000,U_U_4,6,565129,5.001,12677,45,1,0
200_2000,U_U_4,7,565294,5.001,13318,42,4,0
200_2000,U_U_4,8,564754,5.000,13261,36,1,0
200_2000,U_U_4,9,564738,5.000,13668,48,1,0
200_2000,U_U_4,10,564939,5.025,12579,49,3,0
200_2000,U_U_5,1,409697,5.000,8792,61,17,0
200_2000,U_U_5,2,410029,5.024,7686,59,6,0
200_2000,U_U_5,3,409748,5.007,7752,59,9,0
200_2000,U_U_5,4,409703,5.000,7690,61,7,0
200_2000,U_U_5,5,410148,5.006,7978,59,13,0
200_2000,U_U_5,6,409928,5.014,7994,61,11,0
200_2000,U_U_5,7,409376,5.018,8170,59,10,0
200_2000,U_U_5,8,409253,5.031,7869,61,9,0
200_2000,U_U_5,9,409291,5.001,8211,63,11,0
200_2000,U_U_5,10,409638,5.000,7678,57,11,0
200_5000,N_N_1,1,63063665,5.000,18417,1,0,0
200_5000,N_N_1,2,65179748,5.000,16845,0,0,0
200_5000,N_N_1,3,64883042,5.000,16500,0,0,0
200_5000,N_N_1,4,63981735,5.000,17062,0,0,0
200_5000,N_N_1,5,63513279,5.000,17366,0,0,0
200_5000,N_N_1,6,65842899,5.000,16542,1,0,0
200_5000,N_N_1,7,64547283,5.000,17338,0,0,0
200_5000,N_N_1,8,65022854,5.000,16848,0,0,0
200_5000,N_N_1,9,64398179,5.000,18315,0,0,0
200_5000,N_N_1,10,66357474,5.000,16412,0,0,0
200_5000,N_N_2,1,13670160,5.000,15313,1,0,0
200_5000,N_N_2,2,13522753,5.000,17052,0,0,0
200_5000,N_N_2,3,13754792,5.000,15254,0,0,0
200_5000,N_N_2,4,13543858,5.000,16921,0,0,0
200_5000,N_N_2,5,13671014,5.000,15366,1,0,0
200_5000,N_N_2,6,13688461,5.000,15847,1,0,0
200_5000,N_N_2,7,13762930,5.000,16313,0,0,0
200_5000,N_N_2,8,13226432,5.000,16611,0,0,0
200_5000,N_N_2,9,13586975,5.000,15327,1,0,0
200_5000,N_N_2,10,13422796,5.000,15977,0,0,0
200_5000,N_N_3,1,13697327,5.000,16301,0,0,0
200_5000,N_N_3,2,13335902,5.000,16917,0,0,0
200_5000,N_N_3,3,13902287,5.001,16305,0,0,0
200_5000,N_N_3,4,14054698,5.000,15244,0,0,0
200_5000,N_N_3,5,13848310,5.000,15865,0,0,0
200_5000,N_N_3,6,13681106,5.000,15579,0,0,0
200_5000,N_N_3,7,14295210,5.000,15819,0,0,0
200_5000,N_N_3,8,13461110,5.000,16676,0,0,0
200_5000,N_N_3,9,13987317,5.000,15762,0,0,0
200_5000,N_N_3,10,13844528,5.000,15116,0,0,0
200_5000,N_N_4,1,3920666,5.000,10676,10,0,0
200_5000,N_N_4,2,3922284,5.001,9569,20,0,0
200_5000,N_N_4,3,3987601,5.000,12653,9,0,0
200_5000,N_N_4,4,3963633,5.000,12165,8,0,0
200_5000,N_N_4,5,3962406,5.009,11585,11,0,0
200_5000,N_N_4,6,4125605,5.000,11380,12,0,0
200_5000,N_N_4,7,4027857,5.000,11330,11,0,0
200_5000,N_N_4,8,3873336,5.000,10877,17,0,0
200_5000,N_N_4,9,3968690,5.000,11245,12,0,0
200_5000,N_N_4,10,4082239,5.000,11704,9,0,0
