Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
25,9,148,1.000,254362,1696,847,38005
25,10,148,1.000,255118,1701,850,38647
26,1,246,1.000,255709,1704,852,61793
26,2,246,1.000,253977,1693,846,61776
26,3,246,1.000,255878,1706,852,62180
26,4,246,1.000,253686,1691,845,61507
26,5,246,1.000,258122,1721,860,62290
26,6,246,1.000,251902,1679,839,60670
26,7,246,1.000,250462,1670,834,60883
26,8,246,1.000,254625,1697,848,61686
26,9,246,1.000,256240,1708,854,62239
26,10,246,1.000,248284,1655,827,60260
27,1,141,1.000,242538,1617,808,28892
27,2,141,1.000,240905,1606,802,28701
27,3,141,1.000,246561,1644,821,29411
27,4,141,1.000,242079,1614,806,28374
27,5,141,1.000,243717,1624,812,28898
27,6,141,1.000,256356,1709,854,30449
27,7,141,1.000,253188,1688,843,30064
27,8,141,1.000,256596,1710,855,30625
27,9,141,1.000,253768,1692,845,30701
27,10,141,1.000,254375,1696,847,30163
28,1,126,1.000,256270,1708,854,50330
28,2,126,1.000,257511,1717,858,51065
28,3,126,1.000,261535,1744,871,51317
28,4,126,1.000,256984,1713,856,50740
28,5,126,1.000,254815,1699,849,50512
28,6,126,1.000,257443,1716,858,50495
28,7,126,1.000,256870,1712,856,50345
28,8,126,1.000,257215,1715,857,50899
28,9,126,1.000,255501,1703,851,50504
28,10,126,1.000,256451,1710,854,50552
29,1,194,1.000,253356,1689,844,55230
29,2,194,1.000,251128,1674,837,55062
29,3,194,1.000,252649,1684,842,55561
29,4,194,1.000,254159,1694,847,55886
29,5,194,1.000,251067,1674,836,54729
29,6,194,1.000,252161,1681,840,55402
29,7,194,1.000,254326,1696,847,55801
29,8,194,1.000,254269,1695,847,55373
29,9,194,1.000,252573,1684,841,55123
29,10,194,1.000,249002,1660,829,54612
30,1,143,1.000,256089,1707,853,37561
30,2,143,1.000,249007,1660,829,36303
30,3,143,1.000,253181,1688,843,37210
30,4,143,1.000,242794,1618,809,34875
30,5,143,1.000,245533,1637,818,35795
30,6,143,1.000,252956,1686,843,36925
30,7,143,1.000,255171,1701,850,37494
30,8,143,1.000,253818,1692,845,36735
30,9,143,1.000,248444,1656,828,36335
30,10,143,1.000,254249,1695,847,36793
31,1,230,1.000,258416,1723,861,42499
31,2,230,1.000,255054,1700,850,42118
31,3,230,1.000,251226,1675,837,41360
31,4,230,1.000,252356,1682,841,41887
31,5,230,1.000,250292,1668,834,41071
31,6,230,1.000,250412,1670,834,41636
31,7,230,1.000,253246,1688,844,41760
31,8,230,1.000,252266,1682,840,41624
31,9,230,1.000,253816,1692,846,41835
31,10,230,1.000,253078,1687,843,41527
32,1,247,1.000,262638,1751,875,37617
32,2,247,1.000,258573,1724,861,36894
32,3,247,1.000,257731,1718,859,36872
32,4,247,1.000,257672,1718,858,37003
32,5,247,1.000,256078,1707,853,36519
32,6,247,1.000,259403,1730,864,37148
32,7,247,1.000,250893,1672,836,35871
32,8,247,1.000,255277,1702,850,36474
32,9,247,1.000,257066,1714,856,36465
32,10,247,1.000,260765,1738,869,37233
33,1,273,1.000,251950,1680,839,25207
33,2,273,1.000,254892,1699,849,25508
33,3,273,1.000,255467,1703,851,25426
33,4,273,1.000,252648,1684,842,25221
33,5,273,1.000,249794,1665,832,25278
33,6,273,1.000,236407,1576,788,23859
33,7,273,1.000,247063,1647,823,24879
33,8,273,1.000,249197,1661,830,24901
33,9,273,1.000,249086,1660,830,25086
33,10,273,1.000,248600,1657,828,24944
34,1,202,1.000,260194,1734,867,26362
34,2,202,1.000,255499,1703,851,25808
34,3,202,1.000,256129,1708,853,26291
34,4,202,1.000,259485,1730,864,26227
34,5,202,1.000,260003,1734,866,26632
34,6,202,1.000,258423,1723,861,26277
34,7,202,1.000,259304,1729,864,26198
34,8,202,1.000,261241,1742,870,26427
34,9,202,1.000,257599,1717,858,26274
34,10,202,1.000,259040,1727,863,26354
35,1,248,1.000,247096,1647,823,1
35,2,248,1.000,247237,1648,824,1
35,3,248,1.000,250850,1672,836,1
35,4,248,1.000,251672,1678,838,2
35,5,248,1.000,256347,1709,854,1
35,6,248,1.000,252553,1684,841,1
35,7,248,1.000,253300,1688,844,1
35,8,248,1.000,251965,1680,839,2
35,9,248,1.000,254060,1694,846,1
35,10,248,1.000,253040,1687,843,1
36,1,310,1.000,254850,1699,849,19005
36,2,310,1.000,253086,1687,843,18791
36,3,310,1.000,251121,1674,837,18721
36,4,310,1.000,242359,1616,807,18098
36,5,310,1.000,237885,1586,792,17719
36,6,310,1.000,243755,1625,812,18183
36,7,310,1.000,246182,1641,820,18407
36,8,310,1.000,246192,1641,820,18285
36,9,310,1.000,244043,1627,813,18187
36,10,310,1.000,242834,1619,809,17999
37,1,205,1.000,242602,1617,808,18541
37,2,205,1.000,249150,1661,830,18801
37,3,205,1.000,248046,1654,826,18636
37,4,205,1.000,246020,1640,820,18577
37,5,205,1.000,245981,1640,819,18903
37,6,205,1.000,243238,1622,810,18254
37,7,205,1.000,241304,1609,804,18264
