instance,run,TCT,TEC,bound,feasible,runtime
data/T_42.txt,5,181,306,306,1,0.300877
data/T_42.txt,6,181,306,306,1,0.322738
data/T_42.txt,7,181,306,306,1,0.299591
data/T_42.txt,8,181,306,306,1,0.30277
data/T_42.txt,9,181,306,306,1,0.428652
data/T_42.txt,10,181,306,306,1,0.446539
data/T_43.txt,1,159,259,259,1,0.35985
data/T_43.txt,2,159,259,259,1,0.391891
data/T_43.txt,3,159,259,259,1,0.421313
data/T_43.txt,4,159,259,259,1,0.423652
data/T_43.txt,5,159,259,259,1,0.396432
data/T_43.txt,6,159,259,259,1,0.451489
data/T_43.txt,7,159,259,259,1,0.4036
data/T_43.txt,8,159,259,259,1,0.37296
data/T_43.txt,9,159,259,259,1,0.388589
data/T_43.txt,10,159,259,259,1,0.436721
data/T_44.txt,1,183,502,503,1,0.392462
data/T_44.txt,2,183,502,503,1,0.397054
data/T_44.txt,3,183,502,503,1,0.414723
data/T_44.txt,4,183,502,503,1,0.410304
data/T_44.txt,5,183,502,503,1,0.412584
data/T_44.txt,6,183,502,503,1,0.395113
data/T_44.txt,7,183,502,503,1,0.438746
data/T_44.txt,8,183,502,503,1,0.395325
data/T_44.txt,9,183,502,503,1,0.421445
data/T_44.txt,10,183,502,503,1,0.439204
data/T_45.txt,1,179,237,238,1,0.373373
data/T_45.txt,2,179,237,238,1,0.404464
data/T_45.txt,3,179,237,238,1,0.426208
data/T_45.txt,4,179,237,238,1,0.398554
data/T_45.txt,5,179,237,238,1,0.40896
data/T_45.txt,6,179,237,238,1,0.399753
data/T_45.txt,7,179,237,238,1,0.409013
data/T_45.txt,8,179,237,238,1,0.395134
data/T_45.txt,9,179,237,238,1,0.400671
data/T_45.txt,10,179,237,238,1,0.408038
data/T_46.txt,1,225,684,690,1,0.431188
data/T_46.txt,2,225,684,690,1,0.388258
data/T_46.txt,3,225,684,690,1,0.419251
data/T_46.txt,4,225,684,690,1,0.444148
data/T_46.txt,5,225,684,690,1,0.433894
data/T_46.txt,6,225,684,690,1,0.424328
data/T_46.txt,7,225,684,690,1,0.434948
data/T_46.txt,8,225,684,690,1,0.424566
data/T_46.txt,9,225,684,690,1,0.467836
data/T_46.txt,10,225,684,690,1,0.492652
data/T_47.txt,1,327,365,368,1,0.450413
data/T_47.txt,2,327,365,368,1,0.437759
data/T_47.txt,3,327,365,368,1,0.477373
data/T_47.txt,4,327,365,368,1,0.422949
data/T_47.txt,5,327,365,368,1,0.408806
data/T_47.txt,6,327,365,368,1,0.417315
data/T_47.txt,7,327,365,368,1,0.413319
data/T_47.txt,8,327,365,368,1,0.385551
data/T_47.txt,9,327,365,368,1,0.420173
data/T_47.txt,10,327,365,368,1,0.441321
data/T_48.txt,1,223,164,165,1,0.406164
data/T_48.txt,2,223,164,165,1,0.42866
data/T_48.txt,3,223,164,165,1,0.426043
data/T_48.txt,4,223,164,165,1,0.418475
data/T_48.txt,5,223,164,165,1,0.415102
data/T_48.txt,6,223,164,165,1,0.454498
data/T_48.txt,7,223,164,165,1,0.431705
data/T_48.txt,8,223,164,165,1,0.445927
data/T_48.txt,9,223,164,165,1,0.454444
data/T_48.txt,10,223,164,165,1,0.440467
data/T_49.txt,1,158,406,406,1,0.420153
data/T_49.txt,2,158,406,406,1,0.426106
data/T_49.txt,3,158,406,406,1,0.412767
data/T_49.txt,4,158,406,406,1,0.422026
data/T_49.txt,5,158,406,406,1,0.428696
data/T_49.txt,6,158,406,406,1,0.415404
data/T_49.txt,7,158,406,406,1,0.444112
data/T_49.txt,8,158,406,406,1,0.400889
data/T_49.txt,9,158,406,406,1,0.419031
data/T_49.txt,10,158,406,406,1,0.426944
data/T_50.txt,1,171,300,301,1,0.400438
data/T_50.txt,2,171,300,301,1,0.444409
data/T_50.txt,3,171,300,301,1,0.448992
