Instance,Run,Objective,Runtime,Iterations
62,4,857,1,463479
62,5,857,1,457362
62,6,857,1,456398
62,7,857,1,387653
62,8,857,1,236656
62,9,857,1.00001,226071
62,10,857,1,227038
63,1,1376,1,221357
63,2,1376,1,229892
63,3,1376,1,263298
63,4,1376,1,451660
63,5,1376,1,465302
63,6,1376,1,470559
63,7,1376,1,469315
63,8,1376,1,473441
63,9,1376,1,466892
63,10,1376,1,471295
64,1,661,1,421784
64,2,661,1,419344
64,3,661,1,419796
64,4,661,1,420478
64,5,661,1,420810
64,6,661,1,413420
64,7,661,1,410110
64,8,661,1,415927
64,9,661,1,394735
64,10,661,1,419829
65,1,673,1,457324
65,2,673,1,455030
65,3,673,1,454312
65,4,673,1,461279
65,5,673,1,464281
65,6,673,1,458305
65,7,673,1,458280
65,8,673,1,463395
65,9,673,1,461230
65,10,673,1,457434
66,1,865,1,461429
66,2,865,1,464233
66,3,865,1,454625
66,4,865,1,439373
66,5,865,1,431133
66,6,865,1,443819
66,7,865,1,431601
66,8,865,1,457019
66,9,865,1,458829
66,10,865,1,453830
67,1,1346,1,454177
67,2,1346,1,465368
67,3,1346,1,459562
67,4,1346,1,459889
67,5,1346,1,458665
67,6,1346,1,470094
67,7,1346,1,464630
67,8,1346,1,457914
67,9,1346,1,464644
67,10,1346,1,457710
68,1,659,1,418013
68,2,659,1,418080
68,3,659,1,411521
68,4,659,1,422135
68,5,659,1,411190
68,6,659,1,421261
68,7,659,1,408226
68,8,659,1,417173
68,9,659,1,420221
68,10,659,1,421211
69,1,1523,1,435941
69,2,1523,1,462411
69,3,1523,1,458415
69,4,1523,1,454677
69,5,1523,1,466724
69,6,1523,1,470986
69,7,1523,1,464258
69,8,1523,1,445820
69,9,1523,1,465101
69,10,1523,1,463298
70,1,720,1,444352
70,2,720,1.00001,433956
70,3,720,1,397796
70,4,720,1,452341
70,5,720,1,416240
70,6,720,1,430986
70,7,720,1,444513
70,8,720,1,442131
70,9,720,1.00001,463262
70,10,720,1,461313
71,1,779,1,405135
71,2,779,1,417114
71,3,779,1,418718
71,4,779,1,419650
71,5,779,1,416944
71,6,779,1,397258
71,7,779,1,425489
71,8,779,1,417758
71,9,779,1,417745
71,10,779,1,425343
72,1,913,1.00002,460553
72,2,913,1,407951
72,3,913,1,420197
72,4,913,1,451529
72,5,913,1,463772
72,6,913,1,419588
72,7,913,1,423950
72,8,913,1,409848
72,9,913,1,388994
72,10,913,1,399909
73,1,902,1,402984
73,2,902,1,402904
73,3,902,1,411098
73,4,902,1,413565
73,5,902,1,420465
73,6,902,1,418151
73,7,902,1,418910
73,8,902,1,409580
73,9,902,1,417964
73,10,902,1,407397
74,1,735,1,439428
74,2,735,1,423128
74,3,735,1,412508
74,4,735,1,427958
74,5,735,1,394884
74,6,735,1,449072
74,7,735,1,402833
74,8,735,1,412475
74,9,735,1,407456
74,10,735,1,385616
75,1,549,1,317575
75,2,549,1,413048
75,3,549,1,414386
75,4,549,1,417329
75,5,549,1,417927
75,6,549,1,405156
75,7,549,1.00001,286238
75,8,549,1,288176
75,9,549,1,295722
75,10,549,1,207047
76,1,584,1,209902
76,2,584,1,217473
76,3,584,1,210666
76,4,584,1,227193
76,5,584,1,225160
76,6,584,1,208428
76,7,584,1,203449
76,8,584,1.00001,210490
76,9,584,1,214342
76,10,584,1.00001,222966
77,1,596,1,358363
77,2,596,1,417068
77,3,596,1,417528
77,4,596,1,223750
77,5,596,1,196385
77,6,596,1,374813
77,7,596,1,413870
77,8,596,1,409254
77,9,596,1.00002,385650
77,10,596,1.00002,421586
78,1,681,1,438165
78,2,681,1,464499
78,3,681,1,417325
78,4,681,1,444238
78,5,681,1,463072
78,6,681,1,437985
78,7,681,1,439477
78,8,681,1,308822
78,9,681,1,219227
78,10,681,1,216919
79,1,684,1,233917
79,2,684,1,234308
79,3,684,1,242777
79,4,684,1,243410
79,5,684,1,243794
79,6,684,1,243917
79,7,684,1.00001,214955
79,8,684,1,213512
79,9,684,1.00001,215275
79,10,684,1,221706
80,1,541,1,205824
80,2,541,1,193471
80,3,541,1,199905
80,4,541,1.00001,196810
80,5,541,1,198595
80,6,541,1,201549
80,7,541,1.00001,198235
80,8,541,1,192665
80,9,541,1,199553
80,10,541,1,201245
81,1,808,1.00002,192726
81,2,808,1.00001,194663
81,3,808,1,189777
81,4,808,1.00001,216488
81,5,808,1,189761
81,6,808,1,200067
81,7,808,1,192317
81,8,808,1,205073
81,9,808,1,202410
81,10,808,1,189721
82,1,750,1,196598
82,2,750,1.00001,184660
82,3,750,1,189708
82,4,750,1.00001,204722
82,5,750,1,192030
82,6,750,1,182639
82,7,750,1,194294
82,8,750,1,200321
82,9,750,1,186465
82,10,750,1,200961
83,1,720,1.00001,199564
83,2,720,1.00001,206204
83,3,720,1,203369
83,4,720,1.00002,214040
83,5,720,1,196904
83,6,720,1,190169
83,7,720,1,199208
83,8,720,1,197852
83,9,720,1,201851
83,10,720,1,198708
84,1,698,1,216510
84,2,698,1,205279
84,3,698,1,202951
84,4,698,1,207658
84,5,698,1,201050
84,6,698,1,202030
84,7,698,1,214874
84,8,698,1,198771
84,9,698,1,226629
84,10,698,1.00001,205443
85,1,619,1,224537
85,2,619,1,227832
85,3,619,1.00001,210660
85,4,619,1,219168
85,5,619,1,236443
85,6,619,1,225200
85,7,619,1,240271
85,8,619,1,238746
85,9,619,1,244946
85,10,619,1,321414
86,1,598,1,349338
86,2,598,1.00001,219543
86,3,598,1,231937
86,4,598,1,229946
86,5,598,1.00001,221436
86,6,598,1,212905
86,7,598,1,211036
86,8,598,1,219228
86,9,598,1.00001,212791
86,10,598,1,217941
87,1,789,1,206797
87,2,789,1,185013
87,3,789,1,202387
87,4,789,1,200248
87,5,789,1.00002,202799
87,6,789,1,203609
87,7,789,1,204485
87,8,789,1,199236
87,9,789,1,198481
87,10,789,1,193024
88,1,1206,1,226245
88,2,1206,1,228335
88,3,1206,1.00001,221223
88,4,1206,1,228330
88,5,1206,1.00001,213935
88,6,1206,1,229043
88,7,1206,1,220893
88,8,1206,1,239517
88,9,1206,1,234431
88,10,1206,1,225251
89,1,839,1,196727
89,2,839,1,199587
89,3,839,1,187569
89,4,839,1,189217
89,5,839,1,195785
89,6,839,1.00001,209017
89,7,839,1.00001,194176
89,8,839,1,199942
89,9,839,1,192321
89,10,839,1,189325
90,1,785,1,217545
90,2,785,1,217865
90,3,785,1,209232
90,4,785,1.00001,231439
90,5,785,1,214253
90,6,785,1,218470
90,7,785,1,215169
90,8,785,1,212817
90,9,785,1,218845
90,10,785,1,216889
91,1,1413,1,207881
91,2,1413,1.00001,217063
91,3,1413,1,203467
91,4,1413,1,206571
91,5,1413,1,223917
91,6,1413,1,216063
91,7,1413,1,212992
91,8,1413,1,213701
91,9,1413,1,214335
91,10,1413,1,234191
92,1,898,1,230960
92,2,898,1,243110
92,3,898,1.00001,244856
92,4,898,1,245519
92,5,898,1,245307
92,6,898,1,219337
92,7,898,1,224619
92,8,898,1,206161
92,9,898,1,214649
92,10,898,1,212323
93,1,858,1,196790
93,2,858,1,227637
93,3,858,1,208449
93,4,858,1,203512
93,5,858,1,192529
93,6,858,1,213068
93,7,858,1.00001,194452
93,8,858,1.0001,190732
93,9,858,1,190034
93,10,858,1,203231
94,1,855,1,198157
94,2,855,1.00021,209815
94,3,855,1,206616
94,4,855,1.00001,214363
94,5,855,1,214288
94,6,855,1,206800
94,7,855,1.00001,214159
94,8,855,1,221413
94,9,855,1,222919
94,10,855,1,227116
95,1,961,1,225460
95,2,961,1,223703
95,3,961,1,214749
95,4,961,1,226075
95,5,961,1,222203
95,6,961,1,229796
95,7,961,1,223288
95,8,961,1,219949
95,9,961,1,218667
95,10,961,1.00001,224394
96,1,526,1.00001,227426
96,2,526,1,219476
96,3,526,1,216344
96,4,526,1,218856
96,5,526,1.00003,226073
96,6,526,1.00001,198782
96,7,526,1,228708
96,8,526,1,224180
96,9,526,1,233098
96,10,526,1.00012,217560
