test_id,algo,mach,job,lower_cost,upper_cost,obj_best,obj_mean,runtime_mean
T_254,Tabu+O3,2.0,12.0,99.0,264.0,277.0,277.0,0.2000054
T_255,Tabu+O3,2.0,12.0,278.0,503.0,420.0,420.0,0.2000019
T_256,Tabu+O3,2.0,12.0,604.0,684.0,472.0,472.0,0.20000110000000001
T_257,Tabu+O3,2.0,12.0,320.0,405.0,550.0,550.0,0.2000007
T_258,Tabu+O3,2.0,12.0,404.0,459.0,263.0,263.0,0.20000040000000002
T_259,Tabu+O3,2.0,12.0,140.0,215.0,430.0,430.0,0.20000150000000003
T_260,Tabu+O3,2.0,12.0,236.0,422.0,365.0,365.0,0.2000017
T_261,Tabu+O3,2.0,12.0,125.0,323.0,342.0,342.0,0.2000302
T_262,Tabu+O3,2.0,12.0,309.0,363.0,230.0,230.0,0.20000090000000004
T_263,Tabu+O3,2.0,12.0,154.0,394.0,479.0,479.0,0.20001850000000002
T_264,Tabu+O3,2.0,12.0,126.0,193.0,338.0,338.0,0.2000017
T_265,Tabu+O3,2.0,12.0,242.0,307.0,322.0,322.0,0.2000016
T_266,Tabu+O3,2.0,12.0,250.0,382.0,338.0,338.0,0.20000120000000005
T_267,Tabu+O3,2.0,12.0,276.0,349.0,402.0,402.0,0.20000110000000001
T_268,Tabu+O3,2.0,12.0,228.0,290.0,280.0,280.0,0.2000013
T_269,Tabu+O3,2.0,12.0,129.0,269.0,336.0,336.0,0.200001
T_270,Tabu+O3,2.0,12.0,186.0,339.0,219.0,219.0,0.2000013
T_271,Tabu+O3,2.0,12.0,381.0,649.0,486.0,486.0,0.20000140000000002
T_272,Tabu+O3,2.0,12.0,234.0,668.0,453.0,453.0,0.2000011
T_273,Tabu+O3,2.0,12.0,795.0,879.0,724.0,724.0,0.2000019
T_274,Tabu+O3,2.0,12.0,436.0,790.0,418.0,418.0,0.20000110000000001
T_275,Tabu+O3,2.0,12.0,820.0,1078.0,666.0,666.0,0.2000016
T_276,Tabu+O3,2.0,12.0,732.0,732.0,324.0,324.0,0.20000140000000002
T_277,Tabu+O3,2.0,12.0,350.0,1086.0,752.0,752.0,0.2000015
T_278,Tabu+O3,2.0,12.0,889.0,956.0,476.0,476.0,0.20000140000000002
T_279,Tabu+O3,2.0,12.0,100.0,540.0,340.0,340.0,0.2000017
T_280,Tabu+O3,2.0,12.0,440.0,685.0,285.0,285.0,0.2000016
T_281,Tabu+O3,2.0,12.0,87.0,501.0,207.0,207.0,0.20000140000000002
T_282,Tabu+O3,2.0,12.0,798.0,867.0,437.0,437.0,0.2000015
T_283,Tabu+O3,2.0,12.0,519.0,1059.0,611.0,611.0,0.2000016
T_284,Tabu+O3,2.0,12.0,298.0,535.0,498.0,498.0,0.200002
T_285,Tabu+O3,2.0,12.0,115.0,245.0,314.0,314.0,0.20000150000000003
T_286,Tabu+O3,2.0,12.0,180.0,440.0,257.0,257.0,0.2000083
T_287,Tabu+O3,2.0,12.0,200.0,310.0,307.0,307.0,0.20000210000000002
T_288,Tabu+O3,2.0,12.0,450.0,602.0,482.0,482.0,0.20000090000000004
T_289,Tabu+O3,2.0,12.0,840.0,1035.0,329.0,329.0,0.2000076
T_290,Tabu+O3,2.0,12.0,111.0,471.0,308.0,308.0,0.20000150000000003
T_291,Tabu+O3,2.0,12.0,148.0,324.0,172.0,172.0,0.2000035
T_292,Tabu+O3,2.0,12.0,393.0,748.0,361.0,361.0,0.2000012
T_293,Tabu+O3,2.0,12.0,363.0,804.0,314.0,314.0,0.2000012
T_294,Tabu+O3,2.0,12.0,240.0,674.0,323.0,323.0,0.20000559999999998
T_295,Tabu+O3,2.0,12.0,585.0,905.0,295.0,295.0,0.20000140000000002
T_296,Tabu+O3,2.0,12.0,1320.0,1404.0,495.0,495.0,0.20000310000000004
T_297,Tabu+O3,2.0,12.0,460.0,775.0,276.0,276.0,0.2000016
T_298,Tabu+O3,2.0,12.0,426.0,502.0,382.0,382.0,0.20000150000000003
T_299,Tabu+O3,2.0,12.0,142.0,592.0,388.0,388.0,0.20000300000000001
T_300,Tabu+O3,2.0,12.0,630.0,766.0,354.0,354.0,0.2000245
T_301,Tabu+O3,2.0,12.0,1148.0,2078.0,2222.0,2222.0,0.20000140000000002
T_302,Tabu+O3,2.0,12.0,467.0,1475.0,1660.0,1660.0,0.2000029
T_303,Tabu+O3,2.0,12.0,2416.0,2735.0,2273.0,2273.0,0.20003230000000002
T_304,Tabu+O3,2.0,12.0,600.0,1596.0,2253.0,2253.0,0.20000090000000004
T_305,Tabu+O3,2.0,12.0,1304.0,1638.0,2880.0,2880.0,0.20000210000000002
T_306,Tabu+O3,2.0,12.0,1434.0,1952.0,1537.0,1537.0,0.20000179999999998
T_307,Tabu+O3,2.0,12.0,1326.0,1326.0,1712.0,1712.0,0.20000180000000004
T_308,Tabu+O3,2.0,12.0,1142.0,1766.0,2106.0,2106.0,0.20000630000000003
T_309,Tabu+O3,2.0,12.0,1156.0,1798.0,2206.0,2206.0,0.20000120000000005
T_310,Tabu+O3,2.0,12.0,1424.0,2180.0,2867.0,2867.0,0.20000110000000001
