Instance,ISA_obj_best,HybridTabu_obj_best,delta_best,delta_best_pct,verdict_best,ISA_obj_avg,HybridTabu_obj_avg,delta_avg,delta_avg_pct,verdict_avg,ISA_obj_std,HybridTabu_obj_std,ISA_iter_avg,HybridTabu_iter_avg,ISA_runtime_avg,HybridTabu_runtime_avg,ISA_n_runs,HybridTabu_n_runs
1070,12119.0,12120.0,1.0,0.00825150589982672,ISA better,12125.7,12125.0,-0.7000000000007276,-0.00577286259762923,Tabu better,4.94064773081425,3.6606010435446255,125219.2,131858.2,1.000018,1.000205,10.0,10.0
1071,12131.0,12130.0,-1.0,-0.008243343500123651,Tabu better,12138.7,12136.9,-1.8000000000010914,-0.014828606028661153,Tabu better,5.000999900019995,7.738862965578342,122392.6,154120.8,1.0000060000000002,1.000005,10.0,10.0
1072,10907.0,10901.0,-6.0,-0.05501054368754012,Tabu better,10914.2,10911.5,-2.7000000000007276,-0.024738414176034226,Tabu better,4.093897898091744,8.114801291467339,120988.0,140228.6,1.000006,1.000616,10.0,10.0
1073,8340.0,8341.0,1.0,0.011990407673860911,ISA better,8342.4,8343.0,0.6000000000003638,0.007192174913698262,ISA better,1.854723699099141,1.1832159566199232,125605.9,154716.5,1.000009,1.0000019999999998,10.0,10.0
1074,9946.0,9946.0,0.0,0.0,Tie,9949.1,9952.1,3.0,0.03015348121940678,ISA better,2.2113344387495983,4.657252408878008,124635.6,142264.6,1.0000229999999999,1.0000049999999998,10.0,10.0
1075,10327.0,10327.0,0.0,0.0,Tie,10330.5,10334.2,3.7000000000007276,0.03581627220367579,ISA better,3.3241540277189325,6.8527366796047255,122080.3,141647.2,1.0000050000000003,1.000004,10.0,10.0
1076,10127.0,10128.0,1.0,0.009874592673052237,ISA better,10133.0,10129.9,-3.100000000000364,-0.030593111615517258,Tabu better,4.0,1.6401219466856725,131958.5,143511.9,1.000008,1.0000060000000002,10.0,10.0
1077,10927.0,10926.0,-1.0,-0.009151642719868215,Tabu better,10932.0,10929.7,-2.2999999999992724,-0.0210391511159831,Tabu better,4.358898943540674,3.1320919526731648,130968.1,162061.3,1.000003,1.0000019999999998,10.0,10.0
1078,10491.0,10490.0,-1.0,-0.009531979792202841,Tabu better,10502.7,10497.4,-5.300000000001091,-0.05046321422111544,Tabu better,10.060318086422516,4.651881339845203,124581.4,173956.5,1.000009,1.000004,10.0,10.0
1079,10542.0,10539.0,-3.0,-0.028457598178713718,Tabu better,10548.4,10544.1,-4.299999999999272,-0.040764476129074294,Tabu better,4.363484845854286,5.575840743780259,122912.4,169124.1,1.000004,1.0000059999999997,10.0,10.0
108,1159.0,1159.0,0.0,0.0,Tie,1159.0,1159.0,0.0,0.0,Tie,0.0,0.0,47816.4,77009.3,0.20001660000000002,0.2000013,10.0,10.0
1080,9650.0,9646.0,-4.0,-0.04145077720207254,Tabu better,9655.4,9651.1,-4.299999999999272,-0.044534664540042596,Tabu better,3.8000000000000003,3.935733730830886,120684.4,181980.1,1.000007,1.000008,10.0,10.0
1081,601.0,601.0,0.0,0.0,Tie,601.6,601.6,0.0,0.0,Tie,1.2,1.2,293724.3,222702.5,1.0,1.000003,10.0,10.0
1082,465.0,466.0,1.0,0.21505376344086022,ISA better,466.4,467.5,1.1000000000000227,0.23584905660377847,ISA better,1.1135528725660044,1.5,167120.5,231320.3,1.0000019999999998,1.000001,10.0,10.0
1083,688.0,688.0,0.0,0.0,Tie,691.2,691.5,0.2999999999999545,0.04340277777777119,ISA better,2.3151673805580453,2.80178514522438,168975.8,259517.8,1.0000259999999999,1.000001,10.0,10.0
1084,516.0,518.0,2.0,0.3875968992248062,ISA better,520.2,519.8,-0.40000000000009095,-0.07689350249905631,Tabu better,4.512205669071391,1.6,166819.6,264265.3,1.000001,1.0,10.0,10.0
1085,411.0,411.0,0.0,0.0,Tie,411.4,411.1,-0.2999999999999545,-0.07292173067573032,Tabu better,0.66332495807108,0.30000000000000004,162263.7,259414.6,1.0000049999999998,1.000004,10.0,10.0
1086,437.0,437.0,0.0,0.0,Tie,437.1,437.0,-0.10000000000002274,-0.022878059940522243,Tabu better,0.3,0.0,164697.4,256206.0,1.000005,1.0000019999999998,10.0,10.0
1087,441.0,439.0,-2.0,-0.45351473922902497,Tabu better,441.9,440.5,-1.3999999999999773,-0.31681375876894713,Tabu better,1.1357816691600549,1.2041594578792296,161735.6,258707.3,1.00002,1.000314,10.0,10.0
1088,600.0,599.0,-1.0,-0.16666666666666669,Tabu better,603.4,603.3,-0.10000000000002274,-0.016572754391783684,Tabu better,1.6852299546352718,3.551056180912941,165382.9,268748.4,1.0000019999999998,1.000003,10.0,10.0
1089,370.0,370.0,0.0,0.0,Tie,371.3,371.2,-0.10000000000002274,-0.026932399676817327,Tabu better,1.2688577540449522,1.4000000000000001,169529.8,252735.3,1.000009,1.001804,10.0,10.0
109,839.0,839.0,0.0,0.0,Tie,839.0,839.0,0.0,0.0,Tie,0.0,0.0,44142.6,75555.8,0.20000359999999998,0.20000140000000002,10.0,10.0
1090,503.0,503.0,0.0,0.0,Tie,503.5,504.2,0.6999999999999886,0.13902681231380112,ISA better,0.6708203932499369,1.077032961426901,165087.8,234831.4,1.000008,1.000004,10.0,10.0
1091,201.0,201.0,0.0,0.0,Tie,201.0,201.0,0.0,0.0,Tie,0.0,0.0,166649.7,242250.4,1.0000019999999998,1.000006,10.0,10.0
1092,306.0,306.0,0.0,0.0,Tie,306.5,306.8,0.30000000000001137,0.09787928221860076,ISA better,0.6708203932499369,0.8717797887081347,163078.8,239757.3,1.000001,1.000045,10.0,10.0
1093,269.0,269.0,0.0,0.0,Tie,269.4,269.2,-0.19999999999998863,-0.07423904974015912,Tabu better,0.48989794855663565,0.4,163474.9,238506.0,1.000004,1.0000170000000002,10.0,10.0
1094,308.0,308.0,0.0,0.0,Tie,308.0,308.3,0.30000000000001137,0.09740259740260108,ISA better,0.0,0.9,222849.4,244336.0,1.000001,1.000009,10.0,10.0
1095,283.0,283.0,0.0,0.0,Tie,283.1,283.0,-0.10000000000002274,-0.03532320734723515,Tabu better,0.30000000000000004,0.0,296132.0,241045.2,1.0,1.000001,10.0,10.0
1096,335.0,333.0,-2.0,-0.5970149253731344,Tabu better,335.3,335.2,-0.10000000000002274,-0.029824038174775643,Tabu better,0.45825756949558405,1.4000000000000001,287735.6,241059.2,1.000001,1.0000040000000001,10.0,10.0
1097,252.0,252.0,0.0,0.0,Tie,252.2,252.1,-0.09999999999999432,-0.03965107057890338,Tabu better,0.6000000000000001,0.30000000000000004,285865.8,244361.2,1.0000019999999998,1.0000019999999998,10.0,10.0
1098,290.0,290.0,0.0,0.0,Tie,290.0,290.0,0.0,0.0,Tie,0.0,0.0,265337.1,239166.0,1.0,1.000046,10.0,10.0
1099,363.0,363.0,0.0,0.0,Tie,363.0,363.0,0.0,0.0,Tie,0.0,0.0,158816.3,239532.5,1.000004,1.0,10.0,10.0
11,212.0,212.0,0.0,0.0,Tie,212.0,212.0,0.0,0.0,Tie,0.0,0.0,51012.6,76878.8,0.20000230000000002,0.20000150000000003,10.0,10.0
110,1020.0,1020.0,0.0,0.0,Tie,1020.0,1020.0,0.0,0.0,Tie,0.0,0.0,46596.7,73860.1,0.2000026,0.200012,10.0,10.0
1100,319.0,319.0,0.0,0.0,Tie,319.1,319.3,0.19999999999998863,0.0626762770291409,ISA better,0.30000000000000004,0.45825756949558405,159547.7,237843.7,1.000006,1.0000040000000001,10.0,10.0
