Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
36,4,310,0.200001,42644,2,8
36,5,310,0.200001,39906,2,8
36,6,310,0.200003,43022,2,8
36,7,310,0.200007,39982,2,8
36,8,310,0.200004,40728,2,8
36,9,310,0.200001,45031,2,8
36,10,310,0.200009,31389,2,8
37,1,205,0.2,40217,2,8
37,2,205,0.200003,43852,2,8
37,3,205,0.200002,41429,2,8
37,4,205,0.200006,39424,2,8
37,5,205,0.200003,45601,2,8
37,6,205,0.200004,42095,2,8
37,7,205,0.200004,45278,2,8
37,8,205,0.200004,46328,2,8
37,9,205,0.200002,44654,2,8
37,10,205,0.200005,39739,2,8
38,1,210,0.200014,39496,2,8
38,2,210,0.200001,44383,2,8
38,3,210,0.200006,40672,2,8
38,4,210,0.200002,36948,2,8
38,5,210,0.200004,41916,2,8
38,6,210,0.200004,43237,2,8
38,7,210,0.200001,42708,2,8
38,8,210,0.200002,39552,2,8
38,9,210,0.200352,38605,2,8
38,10,210,0.200002,38789,2,8
39,1,226,0.200004,42901,2,8
39,2,226,0.200004,45627,2,8
39,3,226,0.200003,36533,2,8
39,4,226,0.200003,38514,2,8
39,5,226,0.200001,41613,2,8
39,6,226,0.200003,36633,2,8
39,7,226,0.200004,40576,2,8
39,8,226,0.200002,46765,2,8
39,9,226,0.200002,44863,2,8
39,10,226,0.200016,41235,2,8
40,1,191,0.200001,45522,2,8
40,2,191,0.200005,45422,2,8
40,3,191,0.200029,41707,2,8
40,4,191,0.200005,37636,2,8
40,5,191,0.200032,38129,2,8
40,6,191,0.200002,42019,2,8
40,7,191,0.200001,45384,2,8
40,8,191,0.200002,41395,2,8
40,9,191,0.200001,37714,2,8
40,10,191,0.200002,44733,2,8
41,1,147,0.200001,44412,2,8
41,2,147,0.200008,42534,2,8
41,3,147,0.200004,41200,2,8
41,4,147,0.200002,39945,2,8
41,5,147,0.200001,45110,2,8
41,6,147,0.200002,43312,2,8
41,7,147,0.200004,45910,2,8
41,8,147,0.200012,40410,2,8
41,9,147,0.200001,40619,2,8
41,10,147,0.200003,44984,2,8
42,1,181,0.200001,41970,2,8
42,2,181,0.200003,39781,2,8
42,3,181,0.2,42241,2,8
42,4,181,0.200004,43473,2,8
42,5,181,0.200003,39247,2,8
42,6,181,0.200003,36628,2,8
42,7,181,0.200004,45175,2,8
42,8,181,0.200006,40338,2,8
42,9,181,0.200001,38543,2,8
42,10,181,0.200002,38916,2,8
43,1,159,0.200003,42116,2,8
43,2,159,0.200002,39640,2,8
43,3,159,0.200002,45205,2,8
43,4,159,0.200005,45120,2,8
43,5,159,0.200003,47778,2,8
43,6,159,0.200003,47121,2,8
43,7,159,0.200003,47692,2,8
43,8,159,0.200003,41915,2,8
43,9,159,0.200001,43713,2,8
43,10,159,0.200002,42506,2,8
44,1,183,0.200003,39380,2,8
44,2,183,0.200002,35635,2,8
44,3,183,0.200003,44228,2,8
