Instance,Run,Objective,Runtime,Iterations
62,2,857,0.200003,49726
62,3,857,0.200004,49611
62,4,857,0.200005,54928
62,5,857,0.200001,48514
62,6,857,0.200003,49002
62,7,857,0.200004,46404
62,8,857,0.200022,48052
62,9,857,0.200011,46794
62,10,857,0.200003,46014
63,1,1376,0.200003,42616
63,2,1376,0.200003,43380
63,3,1376,0.200003,43920
63,4,1376,0.200004,46710
63,5,1376,0.200003,49297
63,6,1376,0.200002,49559
63,7,1376,0.200009,51414
63,8,1376,0.200003,47136
63,9,1376,0.200001,50331
63,10,1376,0.200014,48599
64,1,661,0.200002,40506
64,2,661,0.200004,46060
64,3,661,0.200003,46220
64,4,661,0.200004,39455
64,5,661,0.200001,44427
64,6,661,0.200002,42736
64,7,661,0.200004,45777
64,8,661,0.200004,50290
64,9,661,0.200003,50402
64,10,661,0.2,46187
65,1,673,0.200001,47400
65,2,673,0.200003,50659
65,3,673,0.200002,53831
65,4,673,0.200002,53890
65,5,673,0.200019,49237
65,6,673,0.200002,49951
65,7,673,0.200002,51956
65,8,673,0.200004,53218
65,9,673,0.200002,43565
65,10,673,0.200004,46135
66,1,865,0.200003,35463
66,2,865,0.200008,49527
66,3,865,0.200004,38175
66,4,865,0.200002,50455
66,5,865,0.200001,47411
66,6,865,0.200009,42709
66,7,865,0.200001,47197
66,8,865,0.200002,43673
66,9,865,0.200005,49640
66,10,865,0.200004,45814
67,1,1346,0.200004,49173
67,2,1346,0.200003,46814
67,3,1346,0.200002,43438
67,4,1346,0.200001,47202
67,5,1346,0.200002,45659
67,6,1346,0.200004,45945
67,7,1346,0.200002,46109
67,8,1346,0.200003,47041
67,9,1346,0.200004,50145
67,10,1346,0.200002,45963
68,1,659,0.200002,35348
68,2,659,0.200002,47031
68,3,659,0.200004,45716
68,4,659,0.200004,40810
68,5,659,0.200001,43940
68,6,659,0.200004,43200
68,7,659,0.2,46342
68,8,659,0.200013,37252
68,9,659,0.200005,45889
68,10,659,0.200005,43050
69,1,1523,0.200001,43953
69,2,1523,0.200001,49161
69,3,1523,0.200001,42951
69,4,1523,0.200003,54141
69,5,1523,0.200005,50474
69,6,1523,0.200002,45612
69,7,1523,0.200001,47170
69,8,1523,0.200002,44089
69,9,1523,0.20001,47115
69,10,1523,0.200011,34138
70,1,720,0.200002,49356
70,2,720,0.200001,41992
70,3,720,0.200003,45273
70,4,720,0.200002,42471
70,5,720,0.200001,42326
70,6,720,0.200001,47404
70,7,720,0.200002,43354
70,8,720,0.200003,48471
70,9,720,0.200003,48507
70,10,720,0.200001,40970
71,1,779,0.200003,43879
71,2,779,0.200002,44153
71,3,779,0.200004,46417
71,4,779,0.200004,46302
71,5,779,0.200005,41836
71,6,779,0.200008,39771
71,7,779,0.200001,46717
71,8,779,0.200001,46370
71,9,779,0.200006,47779
71,10,779,0.200003,43625
72,1,913,0.200002,49708
72,2,913,0.200001,47165
72,3,913,0.200004,46462
72,4,913,0.200003,46829
72,5,913,0.200004,42449
72,6,913,0.200003,45056
72,7,913,0.200004,51777
72,8,913,0.200002,49213
72,9,913,0.200002,42552
72,10,913,0.200006,44024
73,1,902,0.200003,44160
73,2,902,0.200003,42425
73,3,902,0.200003,40282
73,4,902,0.200005,46311
73,5,902,0.200001,41176
73,6,902,0.200003,44873
73,7,902,0.200012,38453
73,8,902,0.200004,39290
73,9,902,0.200002,47534
73,10,902,0.200003,36215
