Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
49,9,158,0.200002,43768,2,8
49,10,158,0.200003,40070,2,8
50,1,171,0.200009,42358,2,8
50,2,171,0.200004,49460,2,8
50,3,171,0.200004,54141,2,8
50,4,171,0.200003,53895,2,8
50,5,171,0.200002,50313,2,8
50,6,171,0.200002,49922,2,8
50,7,171,0.200003,53590,2,8
50,8,171,0.200002,52542,2,8
50,9,171,0.200002,52873,2,8
50,10,171,0.200001,48363,2,8
51,1,225,0.200003,52049,2,8
51,2,225,0.200001,52907,2,8
51,3,225,0.200003,51089,2,8
51,4,225,0.200009,45594,2,8
51,5,225,0.200005,50977,2,8
51,6,225,0.200003,51666,2,8
51,7,225,0.200002,52653,2,8
51,8,225,0.200003,52099,2,8
51,9,225,0.200002,53007,2,8
51,10,225,0.200003,51857,2,8
52,1,192,0.200002,53037,2,8
52,2,192,0.200001,53890,2,8
52,3,192,0.200004,54261,2,8
52,4,192,0.200002,51785,2,8
52,5,192,0.200001,52741,2,8
52,6,192,0.200004,52958,2,8
52,7,192,0.200003,53958,2,8
52,8,192,0.200005,52159,2,8
52,9,192,0.200001,50853,2,8
52,10,192,0.200001,50506,2,8
53,1,113,0.200002,52442,2,8
53,2,113,0.200004,50976,2,8
53,3,113,0.200001,50316,2,8
53,4,113,0.200001,48242,2,8
53,5,113,0.200001,51294,2,8
53,6,113,0.200001,51751,2,8
53,7,113,0.200003,50705,2,8
53,8,113,0.200003,51017,2,8
53,9,113,0.200004,51048,2,8
53,10,113,0.200001,52744,2,8
54,1,182,0.200026,50377,2,8
54,2,182,0.200004,47795,2,8
54,3,182,0.200004,52361,2,8
54,4,182,0.200002,47697,2,8
54,5,182,0.200001,48702,2,8
54,6,182,0.200002,49758,2,8
54,7,182,0.200003,50830,2,8
54,8,182,0.200001,48659,2,8
54,9,182,0.200003,44968,2,8
54,10,182,0.200003,49980,2,8
55,1,202,0.200065,43806,2,8
55,2,202,0.200003,45170,2,8
55,3,202,0.200002,44269,2,8
55,4,202,0.200004,41526,2,8
55,5,202,0.200002,46786,2,8
55,6,202,0.200002,44419,2,8
55,7,202,0.200003,46000,2,8
55,8,202,0.200003,47110,2,8
55,9,202,0.200001,35735,2,8
55,10,202,0.200002,45023,2,8
56,1,118,0.200003,45945,2,8
56,2,118,0.200003,45127,2,8
56,3,118,0.200005,51168,2,8
56,4,118,0.200003,50723,2,8
56,5,118,0.200001,52756,2,8
56,6,118,0.200003,49380,2,8
56,7,118,0.200014,53698,2,8
56,8,118,0.200007,49972,2,8
56,9,118,0.200003,50637,2,8
56,10,118,0.200002,50408,2,8
57,1,93,0.200003,51540,2,8
57,2,93,0.200002,51785,2,8
57,3,93,0.200002,51872,2,8
57,4,93,0.200002,46552,2,8
57,5,93,0.20023,42582,2,8
57,6,93,0.200005,49393,2,8
57,7,93,0.200003,51075,2,8
57,8,93,0.200001,47675,2,8
57,9,93,0.200001,50191,2,8
57,10,93,0.200002,47487,2,8
58,1,119,0.200001,48688,2,8
58,2,119,0.200001,53354,2,8
58,3,119,0.200007,50098,2,8
58,4,119,0.200002,49476,2,8
58,5,119,0.200002,52055,2,8
58,6,119,0.200001,53136,2,8
58,7,119,0.200002,49910,2,8
58,8,119,0.200003,46535,2,8
58,9,119,0.200004,54381,2,8
58,10,119,0.200001,55175,2,8
59,1,182,0.200003,42322,2,8
59,2,182,0.200002,49929,2,8
59,3,182,0.200004,48670,2,8
59,4,182,0.200004,47981,2,8
59,5,182,0.200002,48190,2,8
59,6,182,0.200004,47362,2,8
